gender,media_time_bp,sd_time_bp,media_time_dp,sd_time_dp
Female,6.994208494208494,1.9790892467449468,8.594594594594595,2.229078473524714
Male,7.733436055469954,1.951133113959516,7.4576271186440675,2.8537079911961083
Prefer not to say,8.875,2.799872446074234,9.375,2.774243783705493
